Run Name,3mfqm00c
Number Parameters,197626,0
Dev class loss,3.1082180905040437,0
Dev class accuracy,13.085651746525238,0
Encoder loss,3.11049350638289,0
learning rate,0.0001,0
Positive clustering at error rate 0.1%,3.846307107924702,1
Positive clustering at error rate 1%,9.055094789919949,1
Positive clustering at error rate 10%,38.10002293955911,1
Trapz,0.7899292555622919,1
NN classification on test data,99.0234375,1
max_Trapz,0.7899292555622919,1
NN test2train,39.3359375,1
NN test2train 10th mean,38.0546875,1
Kmeans cluster score %,48.37890625,1
Accuracy for dev classification on test data %,45.09765625,1
F1 score on test data,0.4155300163156449,1
Dev class loss,2.1333129186654536,1
Dev class accuracy,33.93236786759327,1
Encoder loss,2.1348746411534973,1
learning rate,0.0001,1
Positive clustering at error rate 0.1%,5.7550282925984835,2
Positive clustering at error rate 1%,17.788524998106613,2
Positive clustering at error rate 10%,46.96430696657903,2
Trapz,0.8210097998459672,2
NN classification on test data,99.86328125,2
max_Trapz,0.8210097998459672,2
epoch,1,2
NN test2train,44.08203125,2
NN test2train 10th mean,43.5546875,2
Kmeans cluster score %,53.10546875,2
Accuracy for dev classification on test data %,52.421875,2
F1 score on test data,0.48080912145737364,2
Dev class loss,1.733208262594792,2
Dev class accuracy,44.083902935259694,2
Encoder loss,1.7344770826991822,2
learning rate,0.0001,2
Positive clustering at error rate 0.1%,9.0534421112342,3
Positive clustering at error rate 1%,20.80190407618014,3
Positive clustering at error rate 10%,59.341393039396564,3
Trapz,0.8502067743719836,3
NN classification on test data,99.90234375,3
max_Trapz,0.8502067743719836,3
epoch,2,3
NN test2train,48.4375,3
NN test2train 10th mean,47.65234375,3
Kmeans cluster score %,60.2734375,3
Accuracy for dev classification on test data %,54.12109375,3
F1 score on test data,0.5217481787774377,3
Dev class loss,1.484185651177847,3
Dev class accuracy,50.6805219001463,3
Encoder loss,1.4852721706882264,3
learning rate,0.0001,3
Positive clustering at error rate 0.1%,8.150939167409353,4
Positive clustering at error rate 1%,17.881552948489837,4
Positive clustering at error rate 10%,52.06128401686875,4
Trapz,0.8510387710875589,4
NN classification on test data,100.0,4
max_Trapz,0.8510387710875589,4
epoch,3,4
NN test2train,50.05859375,4
NN test2train 10th mean,48.03515625,4
Kmeans cluster score %,59.375,4
Accuracy for dev classification on test data %,53.45703125,4
F1 score on test data,0.5145253012499594,4
Dev class loss,1.289211562780056,4
Dev class accuracy,56.34044097476225,4
Encoder loss,1.2901553486971713,4
learning rate,0.0001,4
Positive clustering at error rate 0.1%,15.703771650569253,5
Positive clustering at error rate 1%,31.460421950035073,5
Positive clustering at error rate 10%,61.58528031079695,5
Trapz,0.8801449258393492,5
NN classification on test data,99.94140625,5
max_Trapz,0.8801449258393492,5
epoch,4,5
NN test2train,54.5703125,5
NN test2train 10th mean,52.767578125,5
Kmeans cluster score %,62.32421875,5
Accuracy for dev classification on test data %,59.74609375,5
F1 score on test data,0.5607304439356269,5
Dev class loss,1.1306023453794845,5
Dev class accuracy,61.215681007681056,5
Encoder loss,1.1314300191315951,5
learning rate,0.0001,5
Positive clustering at error rate 0.1%,18.987992016841417,6
Positive clustering at error rate 1%,28.690897118706047,6
Positive clustering at error rate 10%,66.58065789205577,6
Trapz,0.8932753044451766,6
NN classification on test data,99.98046875,6
max_Trapz,0.8932753044451766,6
epoch,5,6
NN test2train,57.421875,6
NN test2train 10th mean,56.54296875,6
Kmeans cluster score %,67.9296875,6
Accuracy for dev classification on test data %,60.15625,6
F1 score on test data,0.5838489773522773,6
Dev class loss,1.018896036185723,6
Dev class accuracy,64.78602779809802,6
Encoder loss,1.0196419337231948,6
learning rate,0.0001,6
Positive clustering at error rate 0.1%,18.272011750866042,7
Positive clustering at error rate 1%,33.77041615484106,7
Positive clustering at error rate 10%,69.60254168806044,7
Trapz,0.892767459672843,7
NN classification on test data,99.98046875,7
max_Trapz,0.8932753044451766,7
epoch,6,7
NN test2train,59.00390625,7
NN test2train 10th mean,58.130859375,7
Kmeans cluster score %,67.1484375,7
Accuracy for dev classification on test data %,61.640625,7
F1 score on test data,0.6032240017747303,7
Dev class loss,0.9204202230311294,7
Dev class accuracy,67.9506046543526,7
Encoder loss,0.9210940299293952,7
learning rate,0.0001,7
Positive clustering at error rate 0.1%,19.417165835054508,8
Positive clustering at error rate 1%,34.97092739471944,8
Positive clustering at error rate 10%,71.91337339842906,8
Trapz,0.8989633444048377,8
NN classification on test data,100.0,8
max_Trapz,0.8989633444048377,8
epoch,7,8
NN test2train,59.31640625,8
NN test2train 10th mean,58.56640625,8
Kmeans cluster score %,64.35546875,8
Accuracy for dev classification on test data %,63.49609375,8
F1 score on test data,0.6082386635814229,8
Dev class loss,0.8522901390672831,8
Dev class accuracy,70.15347819129481,8
Encoder loss,0.8529140703550346,8
learning rate,0.0001,8
Positive clustering at error rate 0.1%,20.41817697199384,9
Positive clustering at error rate 1%,37.35492705751336,9
Positive clustering at error rate 10%,66.50300154636561,9
Trapz,0.8970823305740369,9
NN classification on test data,99.98046875,9
max_Trapz,0.8989633444048377,9
epoch,8,9
NN test2train,60.5078125,9
NN test2train 10th mean,59.771484375,9
Kmeans cluster score %,66.9921875,9
Accuracy for dev classification on test data %,62.91015625,9
F1 score on test data,0.6207969777545951,9
Dev class loss,0.7806110818255481,9
Dev class accuracy,72.47351065288954,9
Encoder loss,0.7811825394257128,9
learning rate,0.0001,9
Positive clustering at error rate 0.1%,25.156500327143057,10
Positive clustering at error rate 1%,36.44661804527489,10
Positive clustering at error rate 10%,71.22784846605664,10
Trapz,0.898099345800114,10
NN classification on test data,100.0,10
max_Trapz,0.8989633444048377,10
epoch,9,10
NN test2train,61.015625,10
NN test2train 10th mean,59.427734375,10
Kmeans cluster score %,67.75390625,10
Accuracy for dev classification on test data %,63.7890625,10
F1 score on test data,0.6217605461891846,10
Dev class loss,0.7332872746011938,10
Dev class accuracy,74.00914982626189,10
Encoder loss,0.7338240881257924,10
learning rate,0.0001,10
Positive clustering at error rate 0.1%,19.462584990501533,11
Positive clustering at error rate 1%,34.09822119597546,11
Positive clustering at error rate 10%,67.96948124079204,11
Trapz,0.9032694562869306,11
NN classification on test data,99.98046875,11
max_Trapz,0.9032694562869306,11
epoch,10,11
NN test2train,61.9921875,11
NN test2train 10th mean,60.685546875,11
Kmeans cluster score %,70.99609375,11
Accuracy for dev classification on test data %,62.51953125,11
F1 score on test data,0.6208369641465831,11
Dev class loss,0.681054427820532,11
Dev class accuracy,75.73924423920995,11
Encoder loss,0.6815530035363596,11
learning rate,0.0001,11
Positive clustering at error rate 0.1%,24.065963260563628,12
Positive clustering at error rate 1%,40.26080582641326,12
Positive clustering at error rate 10%,68.34117721117867,12
Trapz,0.9058387184028923,12
NN classification on test data,99.98046875,12
max_Trapz,0.9058387184028923,12
epoch,11,12
NN test2train,63.26171875,12
NN test2train 10th mean,61.8671875,12
Kmeans cluster score %,72.734375,12
Accuracy for dev classification on test data %,63.92578125,12
F1 score on test data,0.6313695966060023,12
Dev class loss,0.6383769091744996,12
