Run Name,0e6kq76e
Number Parameters,195892,0
Dev class loss,1.5219457442220754,0
Dev class accuracy,47.51008709765911,0
Encoder loss,1.523059906553135,0
learning rate,0.001,0
Positive clustering at error rate 0.1%,17.109881389242478,1
Positive clustering at error rate 1%,40.28864436479066,1
Positive clustering at error rate 10%,88.71080705379826,1
Trapz,0.9542506887241752,1
NN classification on test data,99.4873046875,1
max_Trapz,0.9542506887241752,1
NN test2train,68.9453125,1
NN test2train 10th mean,68.89404296875,1
Kmeans cluster score %,76.806640625,1
Accuracy for dev classification on test data %,72.8759765625,1
F1 score on test data,0.6936997905478648,1
Dev class loss,0.5377613587090182,1
Dev class accuracy,80.2029992684711,1
Encoder loss,0.5381550346670784,1
learning rate,0.001,1
Positive clustering at error rate 0.1%,28.690482848992833,2
Positive clustering at error rate 1%,54.919178924995805,2
Positive clustering at error rate 10%,87.42885374967706,2
Trapz,0.9585804900067523,2
NN classification on test data,99.853515625,2
max_Trapz,0.9585804900067523,2
epoch,1,2
NN test2train,72.16796875,2
NN test2train 10th mean,72.75390625,2
Kmeans cluster score %,79.2724609375,2
Accuracy for dev classification on test data %,75.341796875,2
F1 score on test data,0.7165412695601725,2
Dev class loss,0.22484323327338823,2
Dev class accuracy,91.95032461594732,2
Encoder loss,0.22500783300492053,2
learning rate,0.001,2
Positive clustering at error rate 0.1%,36.44220080404493,3
Positive clustering at error rate 1%,57.37393136000999,3
Positive clustering at error rate 10%,88.98283136970527,3
Trapz,0.9495754115257714,3
NN classification on test data,99.951171875,3
max_Trapz,0.9585804900067523,3
epoch,2,3
NN test2train,75.1708984375,3
NN test2train 10th mean,74.77294921875,3
Kmeans cluster score %,84.3994140625,3
Accuracy for dev classification on test data %,75.1220703125,3
F1 score on test data,0.7542345604567074,3
Dev class loss,0.10725662148346865,3
Dev class accuracy,96.32120976591075,3
Encoder loss,0.10733514024004515,3
learning rate,0.001,3
Positive clustering at error rate 0.1%,45.803722344961685,4
Positive clustering at error rate 1%,60.218564392049714,4
Positive clustering at error rate 10%,86.37959527801945,4
Trapz,0.9385961848108462,4
NN classification on test data,100.0,4
max_Trapz,0.9585804900067523,4
epoch,3,4
NN test2train,73.4130859375,4
NN test2train 10th mean,73.55712890625,4
Kmeans cluster score %,76.4404296875,4
Accuracy for dev classification on test data %,71.630859375,4
F1 score on test data,0.6972610289570433,4
Dev class loss,0.06662237114526064,4
Dev class accuracy,97.7872679681785,4
Encoder loss,0.06667114301286352,4
learning rate,0.001,4
Positive clustering at error rate 0.1%,48.17830373928847,5
Positive clustering at error rate 1%,65.52018322134586,5
Positive clustering at error rate 10%,88.2267481738617,5
Trapz,0.9467721988073865,5
NN classification on test data,99.9755859375,5
max_Trapz,0.9585804900067523,5
epoch,4,5
NN test2train,73.9501953125,5
NN test2train 10th mean,73.98193359375,5
Kmeans cluster score %,82.1533203125,5
Accuracy for dev classification on test data %,74.2919921875,5
F1 score on test data,0.7278470353098764,5
Dev class loss,0.047052619921585465,5
Dev class accuracy,98.4662182242136,5
Encoder loss,0.047087065470576325,5
learning rate,0.001,5
Positive clustering at error rate 0.1%,45.21681526885844,6
Positive clustering at error rate 1%,63.214554387865796,6
Positive clustering at error rate 10%,84.35486444771344,6
Trapz,0.9349718671631156,6
NN classification on test data,100.0,6
max_Trapz,0.9585804900067523,6
epoch,5,6
NN test2train,76.3916015625,6
NN test2train 10th mean,75.98876953125,6
Kmeans cluster score %,77.880859375,6
Accuracy for dev classification on test data %,74.169921875,6
F1 score on test data,0.7262401790923685,6
Dev class loss,0.046699122971144376,6
Dev class accuracy,98.51579645208486,6
Encoder loss,0.04673330973759469,6
learning rate,0.001,6
Positive clustering at error rate 0.1%,44.33872179666465,7
Positive clustering at error rate 1%,61.79661246895285,7
Positive clustering at error rate 10%,88.3273152303229,7
Trapz,0.9450832679658925,7
NN classification on test data,100.0,7
max_Trapz,0.9585804900067523,7
epoch,6,7
NN test2train,74.462890625,7
NN test2train 10th mean,74.46044921875,7
Kmeans cluster score %,79.1748046875,7
Accuracy for dev classification on test data %,74.3408203125,7
F1 score on test data,0.7310781517381129,7
Dev class loss,0.03416387825489067,7
Dev class accuracy,98.91556556327726,7
Encoder loss,0.034188888414667315,7
learning rate,0.001,7
Positive clustering at error rate 0.1%,45.527017640602544,8
Positive clustering at error rate 1%,63.38766377340283,8
Positive clustering at error rate 10%,85.2008759325341,8
Trapz,0.9430212285061058,8
NN classification on test data,99.9755859375,8
max_Trapz,0.9585804900067523,8
epoch,7,8
NN test2train,74.6826171875,8
NN test2train 10th mean,74.6044921875,8
Kmeans cluster score %,78.4912109375,8
Accuracy for dev classification on test data %,75.6103515625,8
F1 score on test data,0.7448562431479786,8
Dev class loss,0.024868568562064146,8
Dev class accuracy,99.2134635607169,8
Encoder loss,0.024886773956326266,8
learning rate,0.001,8
Positive clustering at error rate 0.1%,40.08679360097362,9
Positive clustering at error rate 1%,63.648373821000206,9
Positive clustering at error rate 10%,86.21697866457423,9
Trapz,0.9430045184463705,9
NN classification on test data,100.0,9
max_Trapz,0.9585804900067523,9
epoch,8,9
NN test2train,75.1220703125,9
NN test2train 10th mean,75.09521484375,9
Kmeans cluster score %,84.1796875,9
Accuracy for dev classification on test data %,75.0732421875,9
F1 score on test data,0.7513135474077188,9
Dev class loss,0.01810942262196158,9
Dev class accuracy,99.38963057790782,9
Encoder loss,0.018122679885960113,9
learning rate,0.001,9
Positive clustering at error rate 0.1%,39.65396454728797,10
Positive clustering at error rate 1%,63.63496444114213,10
Positive clustering at error rate 10%,85.69180554081308,10
Trapz,0.939137857067173,10
NN classification on test data,100.0,10
max_Trapz,0.9585804900067523,10
epoch,9,10
NN test2train,73.0712890625,10
NN test2train 10th mean,73.31298828125,10
Kmeans cluster score %,83.0810546875,10
Accuracy for dev classification on test data %,71.923828125,10
F1 score on test data,0.6875470883916539,10
Dev class loss,0.022479864114449178,10
Dev class accuracy,99.2846161759327,10
Encoder loss,0.022496320823171295,10
learning rate,0.001,10
Positive clustering at error rate 0.1%,41.5690599178381,11
Positive clustering at error rate 1%,58.7262636363515,11
Positive clustering at error rate 10%,84.80872726495944,11
Trapz,0.9373144234537875,11
NN classification on test data,100.0,11
max_Trapz,0.9585804900067523,11
epoch,10,11
NN test2train,73.4375,11
NN test2train 10th mean,73.43017578125,11
Kmeans cluster score %,75.48828125,11
Accuracy for dev classification on test data %,72.021484375,11
F1 score on test data,0.7084565112790784,11
Dev class loss,0.017163481429398747,11
Dev class accuracy,99.41834880212143,11
